Timestamp,Tengo,Trabajo en,Años de experiencia,Años en el puesto actual,Trabajo de,Tecnologías que utilizás,Tecnologías que utilizás,Tecnologías que utilizás,Tenés guardias ?,Cuánto te pagan por guardia (AR$),Salario bruto mensual (AR$),Cómo creés que está tu sueldo,Beneficios
11/25/2014 1:02:51,27 - 30,Ciudad Autónoma de Buenos Aires,5 - 7,Menos de un año,SysAdmin,"Linux, """"""Cloud""""""",,,"Sí, pasiva",0,21000,4,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Snacks, golosinas, bebidas, etc, Horarios flexibles, Laptop, Playroom, Stock options, Viajes, WFH (Trabajar desde casa)"
11/25/2014 11:49:40,35 - 40,Ciudad Autónoma de Buenos Aires,10+,2 - 4,SysAdmin,Linux,,,"Sí, pasiva",1000,10000,3,"Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc)"
11/25/2014 11:53:12,27 - 30,Córdoba,3 - 5,1 - 2,DevOps,"Linux, """"""Cloud""""""",,,"Sí, activa",0,16000,3,"Capacitaciones y/o cursos, Clases de idiomas, Snacks, golosinas, bebidas, etc, Horarios flexibles, Laptop, Playroom, Viajes, WFH (Trabajar desde casa)"
11/25/2014 11:55:17,27 - 30,Ciudad Autónoma de Buenos Aires,5 - 7,1 - 2,SysAdmin,Linux,,,No,0,23771.13,4,"Capacitaciones y/o cursos, Snacks, golosinas, bebidas, etc, Horarios flexibles, Laptop, WFH (Trabajar desde casa)"
11/25/2014 12:01:13,30 - 33,Ciudad Autónoma de Buenos Aires,10+,2 - 4,DevOps,Linux,,,"Sí, pasiva",1500,16000,3,"Abono de celular y/o Internet, Comidas pagas/subvencionadas, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Horarios flexibles"
11/25/2014 12:06:05,30 - 33,Ciudad Autónoma de Buenos Aires,7 - 10,1 - 2,PM,,,,No,,17000,1,"Abono de celular y/o Internet, Clases de idiomas, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Horarios flexibles, Laptop, Playroom, WFH (Trabajar desde casa)"
11/25/2014 12:07:16,27 - 30,Ciudad Autónoma de Buenos Aires,5 - 7,6 - 10,Networking,,,,"Sí, pasiva",250,17250,4,"Horarios flexibles, Laptop"
11/25/2014 12:07:22,30 - 33,Buenos Aires,7 - 10,2 - 4,Otro,,,,No,,11000,3,"Horarios flexibles, Laptop, WFH (Trabajar desde casa)"
11/25/2014 12:07:50,25 - 27,Ciudad Autónoma de Buenos Aires,5 - 7,1 - 2,Infosec,,,,No,,19176,4,Ninguna de las anteriores
11/25/2014 12:11:21,27 - 30,Ciudad Autónoma de Buenos Aires,3 - 5,Menos de un año,DevOps,Linux,,,"Sí, pasiva",0,9600,2,"Capacitaciones y/o cursos, Horarios flexibles, WFH (Trabajar desde casa)"
11/25/2014 12:13:03,30 - 33,Ciudad Autónoma de Buenos Aires,5 - 7,Menos de un año,PM,,,,No,,23000,4,"Horarios flexibles, Laptop, Viajes, WFH (Trabajar desde casa)"
11/25/2014 12:29:51,27 - 30,Ciudad Autónoma de Buenos Aires,5 - 7,Menos de un año,Otro,,,,No,,14500,3,Capacitaciones y/o cursos
11/25/2014 12:36:11,35 - 40,Ciudad Autónoma de Buenos Aires,10+,Menos de un año,DevOps,"*BSD, Linux, Windows, """"""Cloud""""""",,,No,,18000,3,"Abono de celular y/o Internet, Clases de idiomas, Laptop"
11/25/2014 13:33:29,35 - 40,Santa Fe,7 - 10,1 - 2,SysAdmin,"Linux, Windows",,,No,,9000,2,Capacitaciones y/o cursos
11/25/2014 13:34:32,23 - 25,Ciudad Autónoma de Buenos Aires,3 - 5,Menos de un año,SysAdmin,"Linux, Solaris, """"""Cloud""""""",,,"Sí, pasiva",0,15000,3,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Snacks, golosinas, bebidas, etc, Horarios flexibles, Laptop, Playroom, WFH (Trabajar desde casa)"
11/25/2014 13:34:53,30 - 33,Córdoba,3 - 5,2 - 4,DBA,,,Oracle,"Sí, pasiva",1500,18650,4,"Abono de celular y/o Internet, WFH (Trabajar desde casa)"
11/25/2014 13:35:04,25 - 27,Ciudad Autónoma de Buenos Aires,1 - 3,Menos de un año,Developer,,"CSS, HTML, jQuery, Python",,No,,14000,4,WFH (Trabajar desde casa)
11/25/2014 13:35:09,35 - 40,Ciudad Autónoma de Buenos Aires,10+,4 -6,Developer,,".NET, Assembler, C, C++, C#, Java, jQuery, VB *",,No,,28000,3,Ninguna de las anteriores
11/25/2014 13:35:43,20 - 23,Ciudad Autónoma de Buenos Aires,7 - 10,Menos de un año,Otro,,,,"Sí, pasiva",2000,24000,4,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Snacks, golosinas, bebidas, etc, Horarios flexibles, Laptop, WFH (Trabajar desde casa)"
11/25/2014 13:35:43,20 - 23,Ciudad Autónoma de Buenos Aires,7 - 10,Menos de un año,Otro,,,,"Sí, pasiva",2000,24000,4,"Abono de celular y/o Internet, Capacitaciones y/o cursos, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc), Snacks, golosinas, bebidas, etc, Horarios flexibles, Laptop, WFH (Trabajar desde casa)"
11/25/2014 13:37:23,27 - 30,Ciudad Autónoma de Buenos Aires,1 - 3,1 - 2,DBA,,,"MySQL/MariaDB, Oracle","Sí, pasiva",75,8387.5,3,"Capacitaciones y/o cursos, Horarios flexibles, Laptop, WFH (Trabajar desde casa)"
11/25/2014 13:37:56,23 - 25,Mendoza,1 - 3,1 - 2,Networking,,,,"Sí, pasiva",0,9200,3,"Abono de celular y/o Internet, Capacitaciones y/o cursos"
11/25/2014 13:38:13,25 - 27,Ciudad Autónoma de Buenos Aires,3 - 5,1 - 2,Infosec,,,,No,,10000,3,Abono de celular y/o Internet
11/25/2014 13:39:19,20 - 23,Ciudad Autónoma de Buenos Aires,3 - 5,1 - 2,Developer,,"C, HTML, jQuery, NodeJS, PHP",,No,,11000,2,Ninguna de las anteriores
