Soy,Tengo,Argentina,Años de experiencia,Años en el puesto actual,Trabajo de,Tecnologías que utilizás,Tecnologías que utilizás,Automation o funcional?,Tecnologías que utilizás,Tecnologías que utilizás,Tenés guardias?,Cuánto cobrás por guardia (en tu moneda local),"Porcentaje, bruto o neto?",Tipo de contrato,Salario mensual (en tu moneda local),Bruto o neto?,Qué tan conforme estás con tu sueldo?,Cómo creés que está tu sueldo con respecto a Enero 2016,Recibís algún tipo de bono,A qué está atado el bono,Tuviste ajustes por inflación este año?,De qué % fue el ajuste?,Cantidad de empleados,Cambiaste de empresa en los últimos 6 meses?,Cuál fue el principal motivo de cambio?,Beneficios extra
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,10+,2 - 3,SysAdmin / DevOps,Linux;AWS / Rackspace,,,,,No,0,Bruto,Full-Time,27000,Neto,2,1,Menos de un sueldo,Performance individual,Uno,20,101-200,No,No cambié de empresa,"Abono de celular y/o Internet;Aumento por inflación;Bonos por desempeño;Clases de idiomas;Comidas pagas/subvencionadas;Descuentos en gimnasios;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);Horarios flexibles;Laptop;Playroom;Snacks, golosinas, bebidas, etc;Stock options;Vacaciones flexibles (adicionales a las reglamentarias);Viajes al exterior"
Hombre,24 - 26,Ciudad Autónoma de Buenos Aires,3 - 5,Menos de un año,Developer,,C;Python,,,,No,0,Porcentaje de mi sueldo,Full-Time,22000,Neto,3,2,No,No recibo bono,Uno,13,11-50,No,No cambié de empresa,Aumento por inflación;Horarios flexibles;Laptop
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,10+,Menos de un año,SysAdmin / DevOps,*BSD;Linux;AWS / Rackspace,,,,,"Sí, pasiva",0,Bruto,Full-Time,34900,Bruto,5,5,De uno a tres sueldos,Mix de las anteriores,Dos,36,1001+,Sí,Mayor comodidad,Abono de celular y/o Internet;Aumento por inflación;Bonos por desempeño;Capacitaciones y/o cursos;Clases de idiomas;Horarios flexibles;Laptop
Hombre,41 - 45,Santa Fe,10+,5 - 6,Infosec,,,,,,"Sí, pasiva",1500,Bruto,Full-Time,30000,Bruto,4,3,No,No recibo bono,Uno,32,1001+,No,No cambié de empresa,Abono de celular y/o Internet
Hombre,37 - 40,Córdoba,10+,10+,SysAdmin / DevOps,"*BSD;Linux;Windows;xen, kvm",,,,,No,0,Porcentaje de mi sueldo,Freelance,42000,Neto,3,3,No,No recibo bono,Uno,30,1-10,No,No cambié de empresa,Ninguna de las anteriores
Hombre,34 - 36,San Juan,5 - 7,1 - 2,Developer,,CSS;HTML;jQuery;NodeJS;PHP,,,,No,0,Porcentaje de mi sueldo,Remoto (empresa de otro país),19000,Neto,4,3,No,No recibo bono,No,0,1-10,No,No cambié de empresa,Capacitaciones y/o cursos;WFH (Trabajar desde casa)
Hombre,31 - 33,Provincia de Buenos Aires,3 - 5,4 - 5,Developer,,"HTML;Java;Javascript;jQuery;Java, Hibernate",,,,No,0,Porcentaje de mi sueldo,Full-Time,20726,Neto,4,2,No,No recibo bono,Uno,15,101-200,No,No cambié de empresa,Aumento por inflación;Laptop
Hombre,37 - 40,GBA,10+,6 - 7,PM,,,,,,,,,Freelance,120000,Bruto,5,2,De uno a tres sueldos,Performance de la compañía,No,0,1-10,No,No cambié de empresa,Bonos por desempeño;Laptop;Vacaciones flexibles (adicionales a las reglamentarias);Viajes al exterior;Viáticos;WFH (Trabajar desde casa)
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,10+,10+,Developer,,CSS;HTML;Javascript;jQuery;PHP,,,,"Sí, pasiva",0,Neto,Freelance,14000,Neto,1,1,No,No recibo bono,Uno,30,1-10,No,No cambié de empresa,Horarios flexibles;Vacaciones flexibles (adicionales a las reglamentarias);WFH (Trabajar desde casa)
Hombre,31 - 33,Provincia de Buenos Aires,1 - 2,1 - 2,SysAdmin / DevOps,Linux,,,,,"Sí, pasiva",800,Bruto,Full-Time,20000,Neto,4,3,Menos de un sueldo,"Es fijo, para todos igual",Uno,20,11-50,No,No cambié de empresa,Abono de celular y/o Internet
Hombre,27 - 30,Provincia de Buenos Aires,3 - 5,1 - 2,Developer,,CSS;HTML;Javascript;Python,,,,No,0,Bruto,Full-Time,20000,Neto,4,3,No,No recibo bono,Uno,15,11-50,No,No cambié de empresa,Capacitaciones y/o cursos;Clases de idiomas;Horarios flexibles;Viáticos;WFH (Trabajar desde casa)
Hombre,27 - 30,Ciudad Autónoma de Buenos Aires,5 - 7,Menos de un año,Architect,,,,,,,,,Full-Time,40000,Neto,3,3,Menos de un sueldo,Performance individual,No,0,101-200,No,No cambié de empresa,"Clases de idiomas;Laptop;Snacks, golosinas, bebidas, etc;Vacaciones flexibles (adicionales a las reglamentarias);WFH (Trabajar desde casa)"
Mujer,24 - 26,Ciudad Autónoma de Buenos Aires,1 - 2,Menos de un año,Developer,,CSS;HTML;Javascript;NodeJS,,,,No,0,Porcentaje de mi sueldo,Full-Time,20000,Neto,4,5,No,No recibo bono,Uno,15,1-10,Sí,Desafíos profesionales,WFH (Trabajar desde casa)
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,8 - 10,Menos de un año,PM,,,,,,,,,Full-Time,27000,Bruto,3,2,Un sueldo,Mix de las anteriores,No,0,501-1000,Sí,Desafíos profesionales,"Abono de celular y/o Internet;Bonos por desempeño;Capacitaciones y/o cursos;Clases de idiomas;Descuentos en gimnasios;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);Horarios flexibles;Laptop;Playroom;Vacaciones flexibles (adicionales a las reglamentarias);Viajes al exterior;WFH (Trabajar desde casa)"
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,3 - 5,Menos de un año,Developer,,CSS;HTML;Javascript;jQuery;NodeJS,,,,No,0,Porcentaje de mi sueldo,Full-Time,45500,Bruto,3,4,No,No recibo bono,Uno,45,51-100,No,No cambié de empresa,"Aumento por inflación;Clases de idiomas;Comidas pagas/subvencionadas;Cuota para universidad;Descuentos en gimnasios;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);Horarios flexibles;Laptop;Snacks, golosinas, bebidas, etc;Viajes al exterior;Viáticos"
Hombre,24 - 26,Córdoba,8 - 10,Menos de un año,Developer,,CSS;Go;HTML;Javascript;NodeJS;PHP,,,,No,0,Porcentaje de mi sueldo,Full-Time,32000,Neto,3,1,No,No recibo bono,Uno,15,51-100,No,No cambié de empresa,"Aumento por inflación;Horarios flexibles;Laptop;Snacks, golosinas, bebidas, etc;Vacaciones flexibles (adicionales a las reglamentarias);Viajes al exterior;WFH (Trabajar desde casa)"
Hombre,34 - 36,Ciudad Autónoma de Buenos Aires,10+,3 - 4,IT Manager,,,,,,,,,Full-Time,55000,Neto,4,3,De uno a tres sueldos,Mix de las anteriores,Uno,20,11-50,No,No cambié de empresa,Abono de celular y/o Internet;Comidas pagas/subvencionadas;Horarios flexibles;Laptop;Playroom;WFH (Trabajar desde casa)
Hombre,34 - 36,Mendoza,10+,1 - 2,Developer,,jQuery;PHP,,,,No,0,Porcentaje de mi sueldo,Full-Time,25000,Neto,4,4,No,No recibo bono,Uno,15,1-10,No,No cambié de empresa,Clases de idiomas;WFH (Trabajar desde casa)
Hombre,37 - 40,Ciudad Autónoma de Buenos Aires,10+,3 - 4,Developer,,Assembler;C;C++;C#;HTML;Java;Javascript;NodeJS;Python,,,,No,0,Neto,Remoto (empresa de otro país),82500,Neto,5,5,No,No recibo bono,No,0,1-10,No,No cambié de empresa,WFH (Trabajar desde casa)
Hombre,31 - 33,Ciudad Autónoma de Buenos Aires,8 - 10,Menos de un año,PM,,,,,,,,,Full-Time,40000,Bruto,3,3,Un sueldo,Performance individual,Uno,20,1001+,No,No cambié de empresa,"Aumento por inflación;Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc);Vacaciones flexibles (adicionales a las reglamentarias)"
