Soy,Tengo,Argentina,Años de experiencia,Años en el puesto actual,Trabajo de,Gente a cargo?,Cuánta?,Tecnologías que utilizás,Tecnologías que utilizás,Automation o funcional?,Tecnologías que utilizás,Tecnologías que utilizás,Tenés guardias?,Cuánto cobrás por guardia (en tu moneda local),"Porcentaje, bruto o neto?",Tipo de contrato,Salario mensual (en tu moneda local),Bruto o neto?,Qué tan conforme estás con tu sueldo?,Cómo creés que está tu sueldo con respecto a Julio 2016,Recibís algún tipo de bono,A qué está atado el bono,Tuviste ajustes por inflación en 2016?,De qué % fue el ajuste?,Cantidad de empleados,Cambiaste de empresa en los últimos 6 meses?,Cuál fue el principal motivo de cambio?,Beneficios extra
Hombre,31 - 33,Catamarca,10+,5,dataentry,No,0,"*BSD, Linux, Windows",,,,,No,0,Bruto,Full-Time,12700,Neto,1,1,No,No recibo bono,Dos,27,51-100,No,No cambié de empresa,Ninguna de las anteriores
Hombre,34 - 36,Catamarca,9,1,empleado público ,Sí,5,Windows,,,,,"Sí, activa",0,Neto,Full-Time,12.3,Neto,2,1,No,No recibo bono,No,0,11-50,No,No cambié de empresa,Ninguna de las anteriores
Mujer,34 - 36,Catamarca,10+,8,SysAdmin / DevOps,Sí,4,"Linux, Windows, VMWare",,,,,No,0,Porcentaje de mi sueldo,Part-Time,19500,Neto,3,3,No,Solo fue el bono para los que tiene bajo sueldo menor a 15000,Más de dos,40,101-200,No,No cambié de empresa,"Abono de celular y/o Internet, Capacitaciones y/o cursos"
Hombre,21 - 23,Chaco,1,1,Administración ,Sí,2,"HP-UX, Windows",,,,,"Sí, activa",6000,Neto,Part-Time,6000,Neto,3,2,No,No recibo bono,Uno,20,1-10,No,No cambié de empresa,Abono de celular y/o Internet
Hombre,24 - 26,Chaco,2,2,DBA,No,0,Windows,,,,,"Sí, activa",350,Bruto,Full-Time,6500,Bruto,1,1,No,No recibo bono,No,0,11-50,No,No cambié de empresa,Abono de celular y/o Internet
Hombre,31 - 33,Chaco,9,2,DBA,No,0,Windows,,,,,No,0,Neto,Full-Time,9000,Neto,2,1,No,No recibo bono,Uno,10,1001+,Sí,Salario,Vacaciones flexibles (adicionales a las reglamentarias)
Hombre,27 - 30,Chaco,5,3,Designer,No,0,"Linux, Windows",,,,,"Sí, pasiva",0,Bruto,Part-Time,5000,Bruto,1,2,Un sueldo,Mix de las anteriores,Más de dos,45,1001+,No,No cambié de empresa,Ninguna de las anteriores
Hombre,37 - 40,Chaco,10+,7,Developer,No,0,"Linux, Windows",,,,,"Sí, activa",24,Neto,Full-Time,24,Neto,3,3,Un sueldo,Performance de la compañía,Uno,2.5,501-1000,No,No cambié de empresa,"Bonos por desempeño, Comidas pagas/subvencionadas, Cuota para universidad, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias), Viáticos"
Hombre,27 - 30,Chaco,6,1,Developer,No,0,Windows,,,,,No,0,Bruto,Part-Time,8000,Neto,2,3,No,No recibo bono,Uno,10,11-50,Sí,Desafíos profesionales,Ninguna de las anteriores
Hombre,27 - 30,Chaco,5,Menos de un año,Developer,No,0,Linux,,,,,No,0,Bruto,Full-Time,11000,Bruto,3,2,Menos de un sueldo,Performance individual,No,0,1-10,No,No cambié de empresa,"Bonos por desempeño, Capacitaciones y/o cursos, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias), WFH (Trabajar desde casa)"
Hombre,31 - 33,Chaco,2,2,Developer,No,0,Linux,,,,,No,0,Bruto,Full-Time,13000,Bruto,3,3,No,No recibo bono,Dos,20,1001+,No,No cambié de empresa,"Aumento por inflación, Capacitaciones y/o cursos, Clases de idiomas, Masajes, Playroom"
Hombre,21 - 23,Chaco,3,3,Developer,No,0,Linux,,,,,No,0,Neto,Full-Time,14000,Bruto,2,2,No,No recibo bono,Uno,22,101-200,No,No cambié de empresa,"Clases de idiomas, Horarios flexibles, WFH (Trabajar desde casa)"
Hombre,27 - 30,Chaco,2,2,Developer,No,0,Linux,,,,,No,0,Porcentaje de mi sueldo,Full-Time,14000,Bruto,2,2,No,No recibo bono,Dos,40,1001+,No,No cambié de empresa,"Capacitaciones y/o cursos, Clases de idiomas, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc)"
Hombre,41 - 45,Chaco,3,Menos de un año,Developer,No,0,"Linux, Windows, VMWare, Yii2",,,,,No,0,Bruto,Full-Time,14000,Neto,3,2,Menos de un sueldo,Mix de las anteriores,No,0,1-10,Sí,Mayor comodidad,"Bonos por desempeño, Comidas pagas/subvencionadas, Horarios flexibles, Laptop, WFH (Trabajar desde casa)"
Hombre,27 - 30,Chaco,2,1,Developer,No,0,"Windows, VMWare",,,,,No,0,Neto,Full-Time,15000,Neto,2,1,No,No recibo bono,No,0,51-100,No,No cambié de empresa,Ninguna de las anteriores
