Me identifico,Tengo,Argentina,Años de experiencia,Años en el puesto actual,¿Gente a cargo?,¿Cuánta?,Trabajo de,Tecnologías que utilizás,Tecnologías que utilizás,Tecnologías que utilizás,Automation o funcional?,Tecnologías que utilizás,Tecnologías que utilizás,¿Tenés guardias?,Cuánto cobrás por guardia (en tu moneda local),"¿Porcentaje, bruto o neto?",Tipo de contrato,Salario mensual (en tu moneda local),¿Bruto o neto?,¿Qué tan conforme estás con tu sueldo?,Cómo creés que está tu sueldo con respecto a Enero 2017,Recibís algún tipo de bono,A qué está atado el bono,¿Tuviste ajustes por inflación en 2017?,¿De qué % fue el ajuste?,Cantidad de empleados,¿Cambiaste de empresa en los últimos 6 meses?,¿Cuál fue el principal motivo de cambio?,Beneficios extra
Hombre,37 - 40,Catamarca,9,9,No,0,seguridad,,,,,,,,,,Full-Time,15,Bruto,2,1,No,No recibo bono,No,0,51-100,No,No cambié de empresa,Ninguna de las anteriores
Hombre,27 - 30,Catamarca,10+,2,No,0,Mecanico,,,,,,,,,,Full-Time,10000,Neto,1,2,No,Aguinaldo,No,0,11-50,No,No cambié de empresa,Ninguna de las anteriores
Mujer,34 - 36,Catamarca,10+,10+,Sí,10,PM,,,,,,,,,,Part-Time,22500,Neto,3,3,No,No recibo bono,No,0,101-200,No,No cambié de empresa,"Abono de celular y/o Internet, Capacitaciones y/o cursos"
Hombre,37 - 40,Catamarca,10+,Menos de un año,No,0,Tecnico,,,,,,,,,,Full-Time,12000,Neto,1,1,No,No recibo bono,No,0,11-50,Sí,Mejores beneficios,Ninguna de las anteriores
Hombre,27 - 30,Catamarca,2,1,Sí,12,Ingenier,,,,,,,,,,Full-Time,45000,Bruto,4,4,Un sueldo,Mix de las anteriores,Dos,20,501-1000,No,No cambié de empresa,"Aumento por inflación, Bonos por desempeño, Capacitaciones y/o cursos, Comidas pagas/subvencionadas, Descuentos en gimnasios"
Hombre,34 - 36,Chaco,10+,8,No,0,SysAdmin / DevOps,"AIX, Linux, Solaris, Windows, Amazon Web Services, VMWare","HTML, Java, Javascript, Perl",,,,,"Sí, activa",850,Neto,Full-Time,25945,Neto,2,3,No,No recibo bono,Dos,20,501-1000,No,No cambié de empresa,Abono de celular y/o Internet
Hombre,24 - 26,Chaco,6,2,No,0,Developer,,"CSS, HTML, Javascript",,,,,No,0,Porcentaje de mi sueldo,Full-Time,96500,Bruto,4,3,Menos de un sueldo,Performance individual,No,0,1-10,No,No cambié de empresa,"Bonos por desempeño, Laptop, Viajes al exterior, WFH (Trabajar desde casa)"
Hombre,27 - 30,Chaco,10+,4,Sí,4,SysAdmin / DevOps,"Linux, Windows, VMWare",".NET, C#, Java, PHP",,,,,"Sí, pasiva",0,Bruto,Full-Time,29000,Bruto,3,2,No,No recibo bono,No,0,101-200,No,No cambié de empresa,"Abono de celular y/o Internet, Comidas pagas/subvencionadas, WFH (Trabajar desde casa)"
Hombre,27 - 30,Chaco,6,5,No,0,HelpDesk,,,,,,,No,0,Neto,Part-Time,10000,Neto,3,2,Menos de un sueldo,Performance individual,No,0,1001+,No,No cambié de empresa,"Cuota para universidad, Descuentos en gimnasios, Descuentos varios (Clarín 365, Club La Nación, programas de beneficios, etc)"
Hombre,31 - 33,Chaco,3,3,Sí,3,QA / Tester,,,"Java, Javascript, jQuery, Ruby",Automation,Selenium,,,,,Full-Time,26000,Bruto,2,2,De uno a tres sueldos,Performance grupal,Uno,13,101-200,No,No cambié de empresa,"Capacitaciones y/o cursos, Clases de idiomas, Masajes, Playroom, WFH (Trabajar desde casa)"
Hombre,27 - 30,Chaco,Menos de un año,Menos de un año,No,0,Developer,,"C, C#, Java, Javascript",,,,,No,0,Porcentaje de mi sueldo,Part-Time,15000,Bruto,2,3,No,No recibo bono,Uno,5,51-100,No,No cambié de empresa,"Bonos por desempeño, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas/subvencionadas, Playroom, Snacks, golosinas, bebidas"
