day,type,value_buy,value_sell
2021-09-02,Oficial,97.31,103.31
2021-09-02,Blue,175.50,180.50
2021-09-01,Oficial,97.22,103.22
2021-09-01,Blue,175.50,180.50
2021-08-31,Oficial,97.14,103.14
2021-08-31,Blue,176.50,181.50
2021-08-30,Oficial,97.11,103.11
2021-08-30,Blue,177.00,182.00
2021-08-27,Oficial,96.97,102.97
2021-08-27,Blue,176.50,181.50
2021-08-26,Oficial,96.97,102.97
2021-08-26,Blue,176.50,181.50
2021-08-25,Oficial,96.79,102.79
2021-08-25,Blue,176.50,181.50
2021-08-24,Oficial,96.79,102.79
2021-08-24,Blue,177.00,182.00
2021-08-23,Oficial,96.76,102.76
2021-08-23,Blue,177.00,182.00
2021-08-20,Oficial,96.64,102.64
2021-08-20,Blue,177.00,182.00
2021-08-19,Oficial,96.61,102.61
2021-08-19,Blue,176.50,181.50
2021-08-18,Oficial,96.57,102.57
2021-08-18,Blue,177.00,182.00
2021-08-17,Oficial,96.57,102.57
2021-08-17,Blue,178.00,183.00
2021-08-16,Oficial,96.53,102.53
2021-08-16,Blue,177.00,182.00
2021-08-13,Oficial,96.53,102.53
2021-08-13,Blue,177.00,182.00
2021-08-12,Oficial,96.36,102.36
2021-08-12,Blue,173.50,178.50
2021-08-11,Oficial,96.34,102.34
2021-08-11,Blue,173.00,178.00
2021-08-10,Oficial,96.34,102.34
2021-08-10,Blue,173.50,178.50
2021-08-09,Oficial,96.33,102.33
2021-08-09,Blue,174.00,179.00
2021-08-06,Oficial,96.30,102.30
2021-08-06,Blue,173.50,178.50
2021-08-05,Oficial,96.28,102.28
2021-08-05,Blue,174.50,179.50
2021-08-04,Oficial,96.25,102.25
2021-08-04,Blue,175.50,180.50
2021-08-03,Oficial,96.18,102.18
2021-08-03,Blue,175.50,180.50
2021-08-02,Oficial,96.12,102.12
2021-08-02,Blue,175.50,180.50
2021-07-30,Oficial,96.06,102.06
2021-07-30,Blue,175.50,180.50
2021-07-29,Oficial,95.99,101.99
2021-07-29,Blue,175.00,180.00
2021-07-28,Oficial,96.00,102.00
2021-07-28,Blue,175.00,180.00
2021-07-27,Oficial,95.95,101.95
2021-07-27,Blue,178.00,183.00
2021-07-26,Oficial,95.77,101.77
2021-07-26,Blue,179.00,184.00
2021-07-23,Oficial,95.75,101.75
2021-07-23,Blue,180.00,185.00
2021-07-22,Oficial,95.69,101.69
2021-07-22,Blue,179.50,184.50
2021-07-21,Oficial,95.76,101.76
2021-07-21,Blue,178.00,183.00
2021-07-20,Oficial,95.75,101.75
2021-07-20,Blue,177.00,182.00
2021-07-19,Oficial,95.72,101.72
2021-07-19,Blue,175.00,180.00
2021-07-16,Oficial,95.65,101.65
2021-07-16,Blue,174.00,179.00
2021-07-15,Oficial,95.64,101.64
2021-07-15,Blue,173.00,178.00
2021-07-14,Oficial,95.63,101.63
2021-07-14,Blue,172.00,177.00
2021-07-13,Oficial,95.48,101.48
2021-07-13,Blue,171.00,176.00
2021-07-12,Oficial,95.42,101.42
2021-07-12,Blue,174.00,179.00
2021-07-09,Oficial,95.35,101.35
2021-07-09,Blue,169.00,174.00
2021-07-08,Oficial,95.35,101.35
2021-07-08,Blue,169.00,174.00
2021-07-07,Oficial,95.34,101.34
2021-07-07,Blue,167.00,172.00
2021-07-06,Oficial,95.33,101.33
2021-07-06,Blue,166.00,171.00
2021-07-05,Oficial,95.28,101.28
2021-07-05,Blue,166.00,171.00
2021-07-02,Oficial,95.19,101.19
2021-07-02,Blue,165.00,170.00
2021-07-01,Oficial,95.23,101.23
2021-07-01,Blue,164.00,169.00
2021-06-30,Oficial,95.17,101.17
2021-06-30,Blue,163.00,168.00
2021-06-29,Oficial,95.14,101.14
2021-06-29,Blue,165.00,170.00
2021-06-28,Oficial,95.10,101.10
2021-06-28,Blue,168.00,173.00
2021-06-25,Oficial,94.99,100.99
2021-06-25,Blue,169.00,174.00
2021-06-24,Oficial,94.89,100.89
2021-06-24,Blue,165.00,170.00
2021-06-23,Oficial,94.89,100.89
2021-06-23,Blue,161.00,166.00
2021-06-22,Oficial,94.69,100.69
2021-06-22,Blue,160.00,165.00
2021-06-21,Oficial,94.71,100.71
2021-06-21,Blue,159.00,164.00
2021-06-18,Oficial,94.71,100.71
2021-06-18,Blue,159.00,164.00
2021-06-17,Oficial,94.71,100.71
2021-06-17,Blue,158.00,163.00
2021-06-16,Oficial,94.62,100.62
2021-06-16,Blue,158.00,163.00
2021-06-15,Oficial,94.67,100.67
2021-06-15,Blue,155.00,160.00
2021-06-14,Oficial,94.53,100.53
2021-06-14,Blue,153.00,158.00
2021-06-11,Oficial,94.39,100.39
2021-06-11,Blue,153.00,158.00
2021-06-10,Oficial,94.37,100.37
2021-06-10,Blue,152.00,157.00
2021-06-09,Oficial,94.36,100.36
2021-06-09,Blue,151.00,156.00
2021-06-08,Oficial,94.37,100.37
2021-06-08,Blue,151.00,156.00
2021-06-07,Oficial,94.34,100.34
2021-06-07,Blue,152.00,157.00
2021-06-04,Oficial,94.28,100.28
2021-06-04,Blue,152.00,157.00
2021-06-03,Oficial,94.26,100.26
2021-06-03,Blue,151.00,156.00
2021-06-02,Oficial,94.26,100.26
